dataset,model,optimizer,seed,rank,normalized_positive_mass
cifar10,resnet34,sgd,44,17,0.012822481600307115
cifar10,resnet34,sgd,44,18,0.009488698078014111
cifar10,resnet34,sgd,44,19,0.006612303302889354
cifar10,resnet34,sgd,44,20,0.004876493044747267
cifar10,resnet34,sam,42,1,0.1943916386528205
cifar10,resnet34,sam,42,2,0.10643010629900929
cifar10,resnet34,sam,42,3,0.08484548193657314
cifar10,resnet34,sam,42,4,0.07731261246407092
cifar10,resnet34,sam,42,5,0.07377488855028508
cifar10,resnet34,sam,42,6,0.061838695706130584
cifar10,resnet34,sam,42,7,0.05349149783394376
cifar10,resnet34,sam,42,8,0.04592889919390309
cifar10,resnet34,sam,42,9,0.044267273844943854
cifar10,resnet34,sam,42,10,0.041054313656264156
cifar10,resnet34,sam,42,11,0.036173207556043856
cifar10,resnet34,sam,42,12,0.031767574818477355
cifar10,resnet34,sam,42,13,0.029321352849776838
cifar10,resnet34,sam,42,14,0.026479740790029783
cifar10,resnet34,sam,42,15,0.02245587183965389
cifar10,resnet34,sam,42,16,0.0187247124065022
cifar10,resnet34,sam,42,17,0.01629435296023519
cifar10,resnet34,sam,42,18,0.014523432428296552
cifar10,resnet34,sam,42,19,0.011816041812694791
cifar10,resnet34,sam,42,20,0.009108304400345163
cifar10,resnet34,sam,43,1,0.1428013190531909
cifar10,resnet34,sam,43,2,0.11600963594227585
cifar10,resnet34,sam,43,3,0.10031332168132283
cifar10,resnet34,sam,43,4,0.07470848203468404
cifar10,resnet34,sam,43,5,0.06986780065090573
cifar10,resnet34,sam,43,6,0.06398877975487764
cifar10,resnet34,sam,43,7,0.055840226983342546
cifar10,resnet34,sam,43,8,0.05539112059166116
cifar10,resnet34,sam,43,9,0.04769973559709064
cifar10,resnet34,sam,43,10,0.04440695298691846
cifar10,resnet34,sam,43,11,0.038534064609265783
cifar10,resnet34,sam,43,12,0.031899364042428574
cifar10,resnet34,sam,43,13,0.03076724136673388
cifar10,resnet34,sam,43,14,0.027307908807022815
cifar10,resnet34,sam,43,15,0.02377737925056279
cifar10,resnet34,sam,43,16,0.020287910495401754
cifar10,resnet34,sam,43,17,0.01837870825415015
cifar10,resnet34,sam,43,18,0.01603237701992033
cifar10,resnet34,sam,43,19,0.01216736859374232
cifar10,resnet34,sam,43,20,0.009820302284501837
cifar10,resnet34,sam,44,1,0.21829096677790485
cifar10,resnet34,sam,44,2,0.12430927835919313
cifar10,resnet34,sam,44,3,0.08709103704766781
cifar10,resnet34,sam,44,4,0.08048690726814985
cifar10,resnet34,sam,44,5,0.06070532333808014
cifar10,resnet34,sam,44,6,0.05853078710081451
cifar10,resnet34,sam,44,7,0.05463859087933433
cifar10,resnet34,sam,44,8,0.043732109699358854
cifar10,resnet34,sam,44,9,0.03814055373632801
cifar10,resnet34,sam,44,10,0.03581720721412797
cifar10,resnet34,sam,44,11,0.031644027007018835
cifar10,resnet34,sam,44,12,0.030079102749401024
cifar10,resnet34,sam,44,13,0.025273336232027075
cifar10,resnet34,sam,44,14,0.023649159987420565
cifar10,resnet34,sam,44,15,0.021265731629565555
cifar10,resnet34,sam,44,16,0.01969402598332425
cifar10,resnet34,sam,44,17,0.015566964764383013
cifar10,resnet34,sam,44,18,0.013030404570782687
cifar10,resnet34,sam,44,19,0.010168027767845476
cifar10,resnet34,sam,44,20,0.007886457887272139
cifar10,resnet34,asam,42,1,0.2521288450769763
cifar10,resnet34,asam,42,2,0.10447565003153053
cifar10,resnet34,asam,42,3,0.08897497687962089
cifar10,resnet34,asam,42,4,0.07875042568727625
cifar10,resnet34,asam,42,5,0.0724516079789609
cifar10,resnet34,asam,42,6,0.06840851937850873
cifar10,resnet34,asam,42,7,0.0643200614535131
cifar10,resnet34,asam,42,8,0.05926856257810104
cifar10,resnet34,asam,42,9,0.05286671076315768
cifar10,resnet34,asam,42,10,0.04552220551121032
cifar10,resnet34,asam,42,11,0.03889215416709429
cifar10,resnet34,asam,42,12,0.03023623582163896
cifar10,resnet34,asam,42,13,0.022608077105568645
cifar10,resnet34,asam,42,14,0.014323673726105475
cifar10,resnet34,asam,42,15,0.006756300614796545
cifar10,resnet34,asam,42,16,1.5993225940326074e-05
cifar10,resnet34,asam,43,1,0.3024206412054159
cifar10,resnet34,asam,43,2,0.1532545333530678
cifar10,resnet34,asam,43,3,0.11976350504883528
cifar10,resnet34,asam,43,4,0.07420563347099485
cifar10,resnet34,asam,43,5,0.06443659286022417
cifar10,resnet34,asam,43,6,0.04780623291850677
cifar10,resnet34,asam,43,7,0.03949250933199892
cifar10,resnet34,asam,43,8,0.03756403265718045
cifar10,resnet34,asam,43,9,0.03149027296114571
cifar10,resnet34,asam,43,10,0.025826380448712057
cifar10,resnet34,asam,43,11,0.02324333819693118
cifar10,resnet34,asam,43,12,0.021055232606913363
cifar10,resnet34,asam,43,13,0.017950846073394276
cifar10,resnet34,asam,43,14,0.015071579376236172
cifar10,resnet34,asam,43,15,0.011975219310844583
cifar10,resnet34,asam,43,16,0.008206150837907059
cifar10,resnet34,asam,43,17,0.004626996347591438
cifar10,resnet34,asam,43,18,0.0016094127314756528
cifar10,resnet34,asam,43,19,8.902626243971276e-07
cifar10,resnet34,asam,44,1,0.333508081616938
cifar10,resnet34,asam,44,2,0.15400368139482226
cifar10,resnet34,asam,44,3,0.123691922798221
cifar10,resnet34,asam,44,4,0.05409769453230084
cifar10,resnet34,asam,44,5,0.048288029666932734
cifar10,resnet34,asam,44,6,0.04588532316411951
cifar10,resnet34,asam,44,7,0.043638748375943386
cifar10,resnet34,asam,44,8,0.040349810911140205
cifar10,resnet34,asam,44,9,0.03690095919156629
cifar10,resnet34,asam,44,10,0.03227381485601906
cifar10,resnet34,asam,44,11,0.02748331246050479
cifar10,resnet34,asam,44,12,0.02204950223602735
cifar10,resnet34,asam,44,13,0.017237306690567573
cifar10,resnet34,asam,44,14,0.011854267501258639
cifar10,resnet34,asam,44,15,0.006754539313385113
cifar10,resnet34,asam,44,16,0.00198300529025326
